category;roomsCount;bathroomsCount;surface;listingType;price;city;region
Land and Farms;-1.0;-1.0;-1.0;For Sale;100000.0;Ariana;Raoued
Land and Farms;-1.0;-1.0;-1.0;For Sale;316000.0;Ariana;Autres villes
Appartements;2.0;1.0;80.0;For Rent;380.0;Ariana;Autres villes
Vacation Rentals;1.0;1.0;90.0;For Rent;70.0;Ariana;Autres villes
Appartements;2.0;2.0;113.0;For Sale;170000.0;Ariana;Ariana Ville
Vacation Rentals;1.0;1.0;70.0;For Rent;80.0;Ariana;Autres villes
Appartements;2.0;1.0;100.0;For Rent;670.0;Ariana;Borj Louzir
Shops;2.0;1.0;20.0;For Rent;650.0;Ariana;Borj Louzir
Land and Farms;-1.0;-1.0;-1.0;For Sale;180000.0;Ariana;Autres villes
Shops;1.0;1.0;40.0;For Rent;450.0;Ariana;Ariana Ville
Houses and Villas;4.0;2.0;1208.0;For Sale;700000.0;Ariana;La Soukra
Land and Farms;-1.0;-1.0;-1.0;For Sale;600000.0;Ariana;La Soukra
Houses and Villas;5.0;3.0;220.0;For Rent;2000.0;Ariana;Chotrana
Appartements;3.0;2.0;138.0;For Sale;340000.0;Ariana;Jardins D'el Menzah
Houses and Villas;2.0;1.0;150.0;For Sale;120000.0;Ariana;Raoued
Appartements;3.0;1.0;180.0;For Rent;300.0;Ariana;Borj Louzir
Appartements;3.0;1.0;250.0;For Rent;500.0;Ariana;Ariana Ville
Land and Farms;-1.0;-1.0;-1.0;For Sale;350000.0;Ariana;Sidi Thabet
Appartements;2.0;1.0;80.0;For Sale;230000.0;Ariana;Ennasr
Shops;1.0;1.0;20.0;For Sale;55000.0;Ariana;Borj Louzir
Appartements;2.0;1.0;80.0;For Rent;400.0;Ariana;Ghazela
Appartements;4.0;2.0;200.0;For Sale;440000.0;Ariana;Ennasr
Houses and Villas;4.0;2.0;130.0;For Sale;125000.0;Ariana;Autres villes
Houses and Villas;2.0;1.0;150.0;For Sale;170000.0;Ariana;Ghazela
Appartements;4.0;1.0;160.0;For Sale;310000.0;Ariana;Autres villes
Appartements;2.0;1.0;89.0;For Sale;136000.0;Ariana;Borj Louzir
Appartements;2.0;1.0;94.0;For Sale;185000.0;Ariana;La Soukra
Appartements;1.0;1.0;79.0;For Sale;146150.0;Ariana;Ghazela
Land and Farms;-1.0;-1.0;-1.0;For Sale;420000.0;Ariana;La Soukra
Houses and Villas;6.0;4.0;1200.0;For Sale;1150000.0;Ariana;La Soukra
Houses and Villas;4.0;2.0;320.0;For Sale;265000.0;Ariana;Ghazela
Houses and Villas;3.0;1.0;130.0;For Rent;1250.0;Ariana;Ennasr
Appartements;3.0;1.0;157.0;For Sale;340000.0;Ariana;Ennasr
Shops;1.0;1.0;330.0;For Sale;1550000.0;Ariana;La Soukra
Houses and Villas;3.0;2.0;220.0;For Sale;490000.0;Ariana;Ennasr
Appartements;2.0;1.0;105.0;For Sale;225000.0;Ariana;La Soukra
Land and Farms;-1.0;-1.0;-1.0;For Sale;180000.0;Ariana;Autres villes
Houses and Villas;5.0;2.0;400.0;For Sale;620000.0;Ariana;Chotrana
Shops;1.0;1.0;65.0;For Rent;4000.0;Ariana;Jardins D'el Menzah
Appartements;3.0;1.0;130.0;For Sale;320000.0;Ariana;Ennasr
Land and Farms;-1.0;-1.0;-1.0;For Sale;90000.0;Ariana;Raoued
Land and Farms;-1.0;-1.0;-1.0;For Sale;558000.0;Ariana;La Soukra
Appartements;1.0;1.0;90.0;For Rent;175.0;Ariana;Ghazela
Shops;2.0;2.0;430.0;For Rent;3500.0;Ariana;La Soukra
Appartements;2.0;1.0;75.0;For Rent;475.0;Ariana;Raoued
Houses and Villas;5.0;2.0;500.0;For Rent;1000.0;Ariana;Autres villes
Appartements;2.0;1.0;80.0;For Rent;90.0;Ariana;Ennasr
Houses and Villas;5.0;2.0;450.0;For Rent;2500.0;Ariana;Autres villes
Houses and Villas;4.0;2.0;180.0;For Sale;750000.0;Ariana;La Soukra
Houses and Villas;5.0;3.0;265.0;For Sale;470000.0;Ariana;La Soukra
Shops;4.0;1.0;120.0;For Rent;120.0;Ariana;Autres villes
Appartements;2.0;1.0;100.0;For Rent;1000.0;Ariana;Ennasr
Appartements;2.0;1.0;80.0;For Rent;420.0;Ariana;Ghazela
Appartements;2.0;1.0;120.0;For Sale;270000.0;Ariana;Ennasr
Shops;1.0;2.0;220.0;For Rent;1000.0;Ariana;La Soukra
Appartements;3.0;2.0;100.0;For Sale;170000.0;Ariana;Borj Louzir
Appartements;2.0;1.0;74.0;For Sale;180000.0;Ariana;Ennasr
Appartements;2.0;1.0;90.0;For Sale;205000.0;Ariana;Ariana
Appartements;1.0;2.0;110.0;For Rent;1200.0;Ariana;Autres villes
Appartements;3.0;1.0;160.0;For Rent;1200.0;Ariana;Ennasr
Houses and Villas;2.0;1.0;120.0;For Rent;330.0;Ariana;Raoued
Appartements;3.0;2.0;151.0;For Sale;225000.0;Ariana;Jardins D'el Menzah
Houses and Villas;5.0;3.0;1000.0;For Sale;1000000.0;Ariana;La Soukra
Appartements;4.0;2.0;145.0;For Sale;410000.0;Ariana;Ennasr
Appartements;4.0;1.0;126.0;For Sale;250000.0;Ariana;Ennasr
Land and Farms;-1.0;-1.0;-1.0;For Sale;110000.0;Ariana;Autres villes
Appartements;2.0;1.0;75.0;For Rent;90.0;Ariana;Autres villes
Appartements;3.0;2.0;160.0;For Rent;1360.0;Ariana;La Soukra
Appartements;2.0;1.0;108.0;For Rent;90.0;Ariana;Autres villes
Shops;1.0;1.0;100.0;For Rent;1800.0;Ariana;Ariana Ville
Houses and Villas;3.0;1.0;130.0;For Rent;1200.0;Ariana;Jardins D'el Menzah
Houses and Villas;1.0;1.0;150.0;For Sale;68000.0;Ariana;Chotrana
Houses and Villas;5.0;1.0;1000.0;For Sale;400000.0;Ariana;Sidi Thabet
Shops;1.0;1.0;30.0;For Sale;10000.0;Ariana;Jardins D'el Menzah
Houses and Villas;1.0;1.0;244.0;For Sale;88000.0;Ariana;Raoued
Appartements;2.0;1.0;68.0;For Rent;700.0;Ariana;Ariana Ville
Houses and Villas;3.0;1.0;125.0;For Sale;140000.0;Ariana;Raoued
Appartements;4.0;2.0;230.0;For Rent;1800.0;Ariana;La Soukra
Appartements;2.0;1.0;100.0;For Rent;490.0;Ariana;Ghazela
Houses and Villas;6.0;2.0;130.0;For Sale;210000.0;Ariana;Ariana
Appartements;1.0;1.0;64.0;For Sale;155000.0;Ariana;Autres villes
Land and Farms;-1.0;-1.0;-1.0;For Sale;120000.0;Ariana;Raoued
Appartements;3.0;2.0;110.0;For Rent;1000.0;Ariana;Ariana
Shared Rooms;2.0;1.0;75.0;For Rent;130.0;Ariana;Ariana
Land and Farms;-1.0;-1.0;-1.0;For Sale;55000000.0;Ariana;Raoued
Houses and Villas;3.0;1.0;200.0;For Sale;90000.0;Ariana;Raoued
Land and Farms;-1.0;-1.0;-1.0;For Sale;550000.0;Ariana;Ariana
Vacation Rentals;1.0;1.0;50.0;For Rent;85.0;Ariana;Ennasr
Appartements;2.0;1.0;105.0;For Sale;230000.0;Ariana;Jardins D'el Menzah
Houses and Villas;1.0;1.0;138.0;For Sale;80000.0;Ariana;Raoued
Vacation Rentals;2.0;1.0;70.0;For Rent;90.0;Ariana;Ennasr
Houses and Villas;2.0;1.0;103.0;For Sale;115000.0;Ariana;Ghazela
Land and Farms;-1.0;-1.0;-1.0;For Sale;650000.0;Ariana;La Soukra
Land and Farms;-1.0;-1.0;-1.0;For Sale;708800.0;Ariana;Borj Louzir
Land and Farms;-1.0;-1.0;-1.0;For Sale;200000.0;Ariana;Raoued
Land and Farms;-1.0;-1.0;-1.0;For Sale;2250000.0;Ariana;Raoued
Land and Farms;-1.0;-1.0;-1.0;For Sale;260000.0;Ariana;Raoued
Land and Farms;-1.0;-1.0;-1.0;For Sale;500000.0;Ariana;Raoued
Land and Farms;-1.0;-1.0;-1.0;For Sale;170000.0;Ariana;Sidi Thabet
Land and Farms;-1.0;-1.0;-1.0;For Sale;400000.0;Ariana;Sidi Thabet
Land and Farms;-1.0;-1.0;-1.0;For Sale;270000.0;Ariana;Sidi Thabet
Land and Farms;-1.0;-1.0;-1.0;For Sale;250000.0;Ariana;Sidi Thabet
Land and Farms;-1.0;-1.0;-1.0;For Sale;280000.0;Ariana;Sidi Thabet
Land and Farms;-1.0;-1.0;-1.0;For Sale;350000.0;Ariana;Sidi Thabet
Land and Farms;-1.0;-1.0;-1.0;For Sale;1100000.0;Ariana;Sidi Thabet
Land and Farms;-1.0;-1.0;-1.0;For Sale;180000.0;Ariana;Sidi Thabet
Land and Farms;-1.0;-1.0;-1.0;For Sale;400000.0;Ariana;Raoued
Land and Farms;-1.0;-1.0;-1.0;For Sale;150000.0;Ariana;Sidi Thabet
Land and Farms;-1.0;-1.0;-1.0;For Sale;250000.0;Ariana;Sidi Thabet
Land and Farms;-1.0;-1.0;-1.0;For Sale;2400000.0;Ariana;Sidi Thabet
Land and Farms;-1.0;-1.0;-1.0;For Sale;220000.0;Ariana;Sidi Thabet
Land and Farms;-1.0;-1.0;-1.0;For Sale;250000.0;Ariana;Sidi Thabet
Appartements;3.0;1.0;163.0;For Sale;340000.0;Ariana;Borj Louzir
Houses and Villas;3.0;1.0;120.0;For Sale;400000.0;Ariana;Ghazela
Land and Farms;-1.0;-1.0;-1.0;For Sale;650000.0;Ariana;Raoued
Land and Farms;-1.0;-1.0;-1.0;For Sale;800000.0;Ariana;Ghazela
Land and Farms;-1.0;-1.0;-1.0;For Sale;900000.0;Ariana;Ariana
Land and Farms;-1.0;-1.0;-1.0;For Sale;4000000.0;Ariana;Sidi Thabet
Land and Farms;-1.0;-1.0;-1.0;For Sale;200000.0;Ariana;Sidi Thabet
Houses and Villas;8.0;3.0;280.0;For Sale;145000.0;Ariana;Ghazela
Houses and Villas;3.0;2.0;188.0;For Sale;257000.0;Ariana;Jardins D'el Menzah
Appartements;1.0;1.0;65.0;For Rent;800.0;Ariana;Ennasr
Appartements;1.0;1.0;83.0;For Rent;950.0;Ariana;La Soukra
Appartements;3.0;1.0;76.0;For Sale;115000.0;Ariana;Chotrana
Land and Farms;-1.0;-1.0;-1.0;For Sale;700000.0;Ariana;La Soukra
Land and Farms;-1.0;-1.0;-1.0;For Sale;90000.0;Ariana;Raoued
Land and Farms;-1.0;-1.0;-1.0;For Sale;320000.0;Ariana;La Soukra
Appartements;2.0;2.0;120.0;For Rent;1200.0;Ariana;Jardins D'el Menzah
Appartements;1.0;1.0;50.0;For Rent;300.0;Ariana;Borj Louzir
Appartements;2.0;2.0;130.0;For Sale;28000.0;Ariana;Jardins D'el Menzah
Land and Farms;-1.0;-1.0;-1.0;For Sale;75000.0;Ariana;Raoued
Houses and Villas;2.0;1.0;125.0;For Sale;78000.0;Ariana;Autres villes
Appartements;2.0;1.0;110.0;For Rent;900.0;Ariana;Ariana Ville
;4.0;2.0;400.0;For Rent;3000.0;Ariana;Autres villes
Shops;1.0;0.0;100.0;For Rent;650.0;Ariana;Jardins D'el Menzah
Land and Farms;-1.0;-1.0;-1.0;For Sale;85000.0;Ariana;Raoued
Appartements;4.0;3.0;370.0;For Sale;1100000.0;Ariana;La Soukra
Appartements;3.0;1.0;500.0;For Rent;1360.0;Ariana;La Soukra
Houses and Villas;2.0;1.0;200.0;For Rent;130.0;Ariana;Autres villes
Appartements;3.0;2.0;143.0;For Sale;360000.0;Ariana;La Soukra
Appartements;4.0;2.0;200.0;For Sale;360000.0;Ariana;Ennasr
Appartements;3.0;1.0;150.0;For Sale;350000.0;Ariana;Ennasr
Appartements;2.0;1.0;130.0;For Sale;300000.0;Ariana;Ennasr
Appartements;4.0;2.0;120.0;For Sale;200000.0;Ariana;Autres villes
Appartements;1.0;1.0;56.0;For Sale;158000.0;Ariana;Jardins D'el Menzah
Appartements;2.0;2.0;136.0;For Sale;300000.0;Ariana;Ennasr
Appartements;3.0;2.0;140.0;For Sale;275000.0;Ariana;Jardins D'el Menzah
Appartements;1.0;1.0;27.0;For Rent;70.0;Ariana;Autres villes
Shops;1.0;1.0;36.0;For Sale;119000.0;Ariana;Ariana
Appartements;3.0;1.0;110.0;For Sale;150000.0;Ariana;Raoued
Appartements;2.0;1.0;100.0;For Sale;230000.0;Ariana;Jardins D'el Menzah
Appartements;2.0;1.0;120.0;For Sale;240000.0;Ariana;Ennasr
Land and Farms;-1.0;-1.0;-1.0;For Sale;75000.0;Ariana;Ariana
Appartements;3.0;1.0;165.0;For Sale;1050000.0;Ariana;Jardins D'el Menzah
Appartements;1.0;1.0;70.0;For Rent;830.0;Ariana;Jardins D'el Menzah
Appartements;2.0;1.0;126.0;For Sale;330000.0;Ariana;Ennasr
Houses and Villas;5.0;3.0;327.0;For Sale;880000.0;Ariana;La Soukra
Houses and Villas;4.0;5.0;434.0;For Sale;1800000.0;Ariana;La Soukra
Appartements;3.0;3.0;278.0;For Sale;750000.0;Ariana;La Soukra
Houses and Villas;5.0;3.0;210.0;For Sale;320000.0;Ariana;Ariana Ville
Appartements;2.0;2.0;186.0;For Sale;470000.0;Ariana;La Soukra
Appartements;3.0;3.0;188.0;For Sale;650000.0;Ariana;La Soukra
Appartements;4.0;3.0;370.0;For Sale;1100000.0;Ariana;La Soukra
Appartements;2.0;2.0;120.0;For Rent;100.0;Ariana;Ennasr
Appartements;1.0;1.0;87.0;For Sale;243000.0;Ariana;Ennasr
Land and Farms;-1.0;-1.0;-1.0;For Sale;97126380.0;Ariana;Mnihla
Appartements;3.0;3.0;165.0;For Sale;650000.0;Ariana;La Soukra
Appartements;2.0;1.0;98.0;For Rent;550.0;Ariana;Raoued
Appartements;2.0;1.0;60.0;For Rent;380.0;Ariana;Borj Louzir
Appartements;4.0;2.0;130.0;For Sale;285000.0;Ariana;Jardins D'el Menzah
Land and Farms;-1.0;-1.0;-1.0;For Sale;27400.0;Ariana;Ariana
Appartements;3.0;1.0;85.0;For Rent;150.0;Ariana;Ghazela
Land and Farms;-1.0;-1.0;-1.0;For Sale;400000.0;Ariana;Raoued
Appartements;1.0;1.0;60.0;For Sale;180000.0;Ariana;Ennasr
Appartements;2.0;1.0;130.0;For Rent;750.0;Ariana;La Soukra
Appartements;2.0;1.0;120.0;For Rent;700.0;Ariana;La Soukra
Appartements;4.0;2.0;110.0;For Rent;830.0;Ariana;Autres villes
Appartements;3.0;2.0;140.0;For Rent;1400.0;Ariana;Autres villes
Houses and Villas;2.0;1.0;130.0;For Rent;650.0;Ariana;Ghazela
Houses and Villas;4.0;1.0;110.0;For Rent;1300.0;Ariana;Ennasr
Appartements;2.0;1.0;90.0;For Rent;90.0;Ariana;Autres villes
Appartements;1.0;1.0;75.0;For Sale;190000.0;Ariana;Ennasr
Appartements;2.0;2.0;100.0;For Rent;850.0;Ariana;La Soukra
Appartements;4.0;1.0;100.0;For Sale;400000.0;Ariana;Autres villes
Land and Farms;-1.0;-1.0;-1.0;For Sale;750000.0;Ariana;Autres villes
Land and Farms;-1.0;-1.0;-1.0;For Sale;100000.0;Ariana;Borj Louzir
Appartements;1.0;1.0;80.0;For Rent;120.0;Ariana;La Soukra
Houses and Villas;4.0;2.0;120.0;For Sale;200000.0;Ariana;Autres villes
Appartements;3.0;1.0;130.0;For Rent;1400.0;Ariana;Jardins D'el Menzah
Appartements;3.0;2.0;138.0;For Sale;295000.0;Ariana;Ariana Ville
Shops;3.0;2.0;98.0;For Sale;65000.0;Ariana;Autres villes
Houses and Villas;3.0;1.0;90.0;For Rent;470.0;Ariana;La Soukra
Appartements;1.0;1.0;85.0;For Rent;950.0;Ariana;La Soukra
Land and Farms;-1.0;-1.0;-1.0;For Sale;260000.0;Ariana;Mnihla
Houses and Villas;2.0;1.0;110.0;For Sale;115000.0;Ariana;Autres villes
Land and Farms;-1.0;-1.0;-1.0;For Sale;43000.0;Ariana;Autres villes
Appartements;3.0;1.0;130.0;For Rent;120.0;Ariana;Autres villes
Land and Farms;-1.0;-1.0;-1.0;For Sale;470000.0;Ariana;Ariana Ville
Land and Farms;-1.0;-1.0;-1.0;For Sale;470000.0;Ariana;Ariana Ville
Appartements;1.0;1.0;72.0;For Sale;160000.0;Ariana;Chotrana
Houses and Villas;4.0;2.0;260.0;For Sale;490000.0;Ariana;Ariana
Appartements;2.0;1.0;62.0;For Sale;109000.0;Ariana;Chotrana
Land and Farms;-1.0;-1.0;-1.0;For Sale;650000.0;Ariana;Jardins D'el Menzah
Houses and Villas;4.0;1.0;260.0;For Sale;650000.0;Ariana;La Soukra
Land and Farms;-1.0;-1.0;-1.0;For Sale;250000.0;Ariana;Raoued
Appartements;3.0;1.0;80.0;For Rent;450.0;Ariana;Borj Louzir
Appartements;3.0;1.0;85.0;For Sale;150000.0;Ariana;Borj Louzir
Houses and Villas;4.0;2.0;350.0;For Rent;1700.0;Ariana;Autres villes
Houses and Villas;4.0;2.0;300.0;For Rent;800.0;Ariana;Autres villes
Appartements;1.0;1.0;40.0;For Rent;300.0;Ariana;Ghazela
Houses and Villas;2.0;1.0;100.0;For Rent;290.0;Ariana;Chotrana
Houses and Villas;2.0;1.0;80.0;For Rent;380.0;Ariana;Ariana
Houses and Villas;2.0;1.0;90.0;For Rent;250.0;Ariana;Raoued
Appartements;3.0;1.0;110.0;For Rent;790.0;Ariana;La Soukra
Appartements;2.0;1.0;100.0;For Rent;400.0;Ariana;Raoued
Land and Farms;-1.0;-1.0;-1.0;For Sale;2820150.0;Ariana;Raoued
;2.0;1.0;90.0;For Rent;900.0;Ariana;Ennasr
Houses and Villas;3.0;1.0;130.0;For Rent;370.0;Ariana;La Soukra
Land and Farms;-1.0;-1.0;-1.0;For Sale;800000.0;Ariana;Sidi Thabet
Appartements;4.0;2.0;180.0;For Rent;1200.0;Ariana;Ariana
Houses and Villas;6.0;3.0;350.0;For Rent;2850.0;Ariana;Ariana
Appartements;2.0;1.0;52.0;For Sale;85000.0;Ariana;Ariana
Appartements;3.0;2.0;120.0;For Sale;245000.0;Ariana;Ariana
Land and Farms;-1.0;-1.0;-1.0;For Sale;249000.0;Ariana;Ariana
Land and Farms;-1.0;-1.0;-1.0;For Sale;190000.0;Ariana;Ariana
Appartements;3.0;2.0;153.0;For Sale;339000.0;Ariana;Ariana
Appartements;2.0;1.0;115.0;For Sale;168000.0;Ariana;Ghazela
Houses and Villas;3.0;2.0;609.0;For Sale;540000.0;Ariana;Ariana
Houses and Villas;3.0;2.0;161.0;For Sale;370000.0;Ariana;Ariana
Appartements;3.0;1.0;100.0;For Sale;125000.0;Ariana;Raoued
Appartements;2.0;1.0;70.0;For Sale;230000.0;Ariana;Ariana
Land and Farms;-1.0;-1.0;-1.0;For Sale;230000.0;Ariana;Ariana
Houses and Villas;3.0;4.0;1078.0;For Sale;1700000.0;Ariana;Ariana
;1.0;1.0;60.0;For Sale;160000.0;Ariana;Ariana
;3.0;1.0;131.0;For Rent;2500.0;Ariana;Ghazela
Appartements;3.0;2.0;125.0;For Sale;210000.0;Ariana;Ghazela
Land and Farms;-1.0;-1.0;-1.0;For Sale;120000.0;Ariana;Ghazela
;2.0;1.0;100.0;For Rent;1600.0;Ariana;Ghazela
Houses and Villas;3.0;2.0;400.0;For Sale;650000.0;Ariana;Ghazela
Houses and Villas;4.0;2.0;410.0;For Sale;530000.0;Ariana;Ghazela
Appartements;2.0;1.0;65.0;For Rent;600.0;Ariana;Ariana
Houses and Villas;4.0;2.0;120.0;For Sale;175000.0;Ariana;Ghazela
Appartements;3.0;2.0;150.0;For Rent;550.0;Ariana;Borj Louzir
Land and Farms;-1.0;-1.0;-1.0;For Sale;530000.0;Ariana;Jardins D'el Menzah
Appartements;3.0;1.0;80.0;For Rent;800.0;Ariana;Ennasr
Appartements;2.0;1.0;60.0;For Rent;650.0;Ariana;Ennasr
Appartements;4.0;2.0;157.0;For Sale;441000.0;Ariana;Ennasr
Appartements;3.0;2.0;187.0;For Sale;570000.0;Ariana;La Soukra
Appartements;1.0;1.0;57.0;For Sale;145000.0;Ariana;Jardins D'el Menzah
Vacation Rentals;1.0;1.0;60.0;For Rent;70.0;Ariana;Ennasr
Houses and Villas;5.0;3.0;327.0;For Sale;840000.0;Ariana;La Soukra
Houses and Villas;3.0;1.0;155.0;For Rent;465.0;Ariana;Mnihla
Appartements;2.0;1.0;95.0;For Rent;90.0;Ariana;Autres villes
Appartements;2.0;1.0;95.0;For Rent;90.0;Ariana;Autres villes
Shops;1.0;1.0;750.0;For Sale;650000.0;Ariana;Mnihla
Appartements;1.0;1.0;50.0;For Rent;650.0;Ariana;Ennasr
Shops;2.0;1.0;40.0;For Sale;82000.0;Ariana;La Soukra
Appartements;1.0;1.0;80.0;For Rent;90.0;Ariana;La Soukra
Land and Farms;-1.0;-1.0;-1.0;For Sale;480000.0;Ariana;Chotrana
Appartements;3.0;1.0;130.0;For Rent;650.0;Ariana;Mnihla
Appartements;3.0;1.0;105.0;For Rent;750.0;Ariana;Ghazela
Appartements;2.0;2.0;126.0;For Sale;330000.0;Ariana;Jardins D'el Menzah
Houses and Villas;5.0;3.0;220.0;For Sale;480000.0;Ariana;Ghazela
Appartements;3.0;1.0;150.0;For Rent;650.0;Ariana;La Soukra
Appartements;3.0;2.0;163.0;For Sale;340000.0;Ariana;Ennasr
Appartements;1.0;1.0;70.0;For Rent;280.0;Ariana;Autres villes
Appartements;2.0;1.0;90.0;For Rent;750.0;Ariana;Ariana
Houses and Villas;4.0;1.0;100.0;For Rent;530.0;Ariana;Ghazela
Land and Farms;-1.0;-1.0;-1.0;For Sale;180000.0;Ariana;Sidi Thabet
Appartements;4.0;1.0;110.0;For Rent;600.0;Ariana;Ariana
Appartements;2.0;1.0;105.0;For Sale;220000.0;Ariana;Ennasr
Appartements;4.0;1.0;153.0;For Sale;360000.0;Ariana;Ariana
Appartements;3.0;2.0;200.0;For Rent;2300.0;Ariana;Ennasr
Appartements;2.0;1.0;120.0;For Sale;230000.0;Ariana;Jardins D'el Menzah
Shops;2.0;1.0;160.0;For Rent;800.0;Ariana;La Soukra
Appartements;2.0;2.0;140.0;For Rent;1250.0;Ariana;Ennasr
Land and Farms;-1.0;-1.0;-1.0;For Sale;200000.0;Ariana;Raoued
Appartements;2.0;1.0;110.0;For Rent;1100.0;Ariana;Ennasr
Land and Farms;-1.0;-1.0;-1.0;For Sale;180000.0;Ariana;Raoued
Appartements;2.0;2.0;150.0;For Rent;1500.0;Ariana;Ennasr
Appartements;3.0;1.0;85.0;For Rent;330.0;Ariana;Raoued
Houses and Villas;5.0;4.0;380.0;For Sale;760000.0;Ariana;La Soukra
Shops;1.0;1.0;200.0;For Rent;1400.0;Ariana;La Soukra
Appartements;3.0;2.0;135.0;For Rent;900.0;Ariana;La Soukra
Appartements;2.0;1.0;100.0;For Sale;90000.0;Ariana;Borj Louzir
Appartements;3.0;2.0;140.0;For Sale;290000.0;Ariana;La Soukra
Appartements;3.0;2.0;130.0;For Rent;1400.0;Ariana;La Soukra
Appartements;4.0;2.0;170.0;For Sale;295000.0;Ariana;Ennasr
Appartements;3.0;1.0;76.0;For Sale;120000.0;Ariana;Ariana
Houses and Villas;5.0;3.0;686.0;For Sale;750000.0;Ariana;Ariana
Appartements;3.0;1.0;160.0;For Sale;310000.0;Ariana;Ennasr
Appartements;4.0;1.0;130.0;For Sale;95000.0;Ariana;Borj Louzir
Land and Farms;-1.0;-1.0;-1.0;For Sale;45000.0;Ariana;Autres villes
Appartements;1.0;1.0;66.0;For Rent;650.0;Ariana;Jardins D'el Menzah
Appartements;1.0;1.0;36.0;For Rent;400.0;Ariana;Ariana Ville
Appartements;2.0;2.0;100.0;For Sale;310000.0;Ariana;La Soukra
Land and Farms;-1.0;-1.0;-1.0;For Sale;270000.0;Ariana;Mnihla
Houses and Villas;5.0;2.0;350.0;For Sale;310000.0;Ariana;Jardins D'el Menzah
Appartements;1.0;1.0;70.0;For Rent;830.0;Ariana;Jardins D'el Menzah
Appartements;2.0;1.0;72.0;For Sale;160000.0;Ariana;Chotrana
Appartements;1.0;1.0;90.0;For Rent;90.0;Ariana;Autres villes
Vacation Rentals;1.0;1.0;90.0;For Rent;90.0;Ariana;Autres villes
Vacation Rentals;1.0;1.0;90.0;For Rent;90.0;Ariana;Autres villes
Vacation Rentals;1.0;1.0;90.0;For Rent;90.0;Ariana;Autres villes
Land and Farms;-1.0;-1.0;-1.0;For Sale;470000.0;Ariana;Ariana Ville
Land and Farms;-1.0;-1.0;-1.0;For Sale;190000.0;Ariana;Jardins D'el Menzah
Appartements;3.0;1.0;110.0;For Sale;220000.0;Ariana;Borj Louzir
Land and Farms;-1.0;-1.0;-1.0;For Sale;470000.0;Ariana;Ariana Ville
Appartements;2.0;1.0;80.0;For Rent;580.0;Ariana;Ariana
Appartements;3.0;1.0;130.0;For Rent;1400.0;Ariana;Jardins D'el Menzah
Land and Farms;-1.0;-1.0;-1.0;For Sale;420000.0;Ariana;Raoued
Appartements;2.0;1.0;100.0;For Rent;230.0;Ariana;Borj Louzir
Land and Farms;-1.0;-1.0;-1.0;For Sale;105000.0;Ariana;Raoued
Appartements;1.0;1.0;60.0;For Rent;650.0;Ariana;Jardins D'el Menzah
Appartements;3.0;1.0;170.0;For Sale;350000.0;Ariana;Ennasr
Land and Farms;-1.0;-1.0;-1.0;For Sale;350000.0;Ariana;Sidi Thabet
Appartements;2.0;1.0;100.0;For Rent;800.0;Ariana;La Soukra
Land and Farms;-1.0;-1.0;-1.0;For Sale;650000.0;Ariana;Jardins D'el Menzah
Land and Farms;-1.0;-1.0;-1.0;For Sale;700000.0;Ariana;Ghazela
Vacation Rentals;2.0;1.0;70.0;For Rent;80.0;Ariana;Ennasr
Land and Farms;-1.0;-1.0;-1.0;For Sale;90000.0;Ariana;Raoued
Appartements;3.0;1.0;100.0;For Rent;700.0;Ariana;Borj Louzir
Land and Farms;-1.0;-1.0;-1.0;For Sale;220000.0;Ariana;Raoued
Appartements;3.0;3.0;190.0;For Rent;2500.0;Ariana;Ennasr
Land and Farms;-1.0;-1.0;-1.0;For Sale;150000.0;Ariana;Sidi Thabet
Land and Farms;-1.0;-1.0;-1.0;For Sale;625000.0;Ariana;Raoued
Land and Farms;-1.0;-1.0;-1.0;For Sale;250000.0;Ariana;Raoued
Houses and Villas;5.0;1.0;240.0;For Sale;280000.0;Ariana;Raoued
;7.0;4.0;400.0;For Rent;3000.0;Ariana;Ariana Ville
Appartements;1.0;1.0;90.0;For Rent;90.0;Ariana;Autres villes
Appartements;1.0;1.0;70.0;For Rent;1350.0;Ariana;La Soukra
Appartements;2.0;1.0;100.0;For Rent;850.0;Ariana;La Soukra
Appartements;2.0;1.0;120.0;For Sale;280000.0;Ariana;La Soukra
Appartements;3.0;2.0;140.0;For Rent;1000.0;Ariana;Chotrana
Appartements;1.0;1.0;80.0;For Rent;900.0;Ariana;La Soukra
Houses and Villas;5.0;3.0;250.0;For Sale;410000.0;Ariana;La Soukra
Appartements;1.0;1.0;90.0;For Rent;90.0;Ariana;Autres villes
Vacation Rentals;1.0;1.0;240.0;For Sale;2500000.0;Ariana;Ariana
Appartements;1.0;1.0;90.0;For Rent;90.0;Ariana;Autres villes
;2.0;1.0;83.0;For Rent;900.0;Ariana;Autres villes
Appartements;3.0;2.0;155.0;For Sale;300000.0;Ariana;La Soukra
Appartements;1.0;1.0;95.0;For Rent;750.0;Ariana;Jardins D'el Menzah
Houses and Villas;7.0;2.0;401.0;For Sale;550000.0;Ariana;Ariana
Land and Farms;-1.0;-1.0;-1.0;For Sale;316000.0;Ariana;Autres villes
Appartements;3.0;2.0;175.0;For Sale;440000.0;Ariana;Autres villes
Appartements;3.0;1.0;170.0;For Sale;350000.0;Ariana;Ennasr
Appartements;2.0;1.0;120.0;For Rent;700.0;Ariana;Ghazela
